action_code,action_code_full,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_full,candidate_office_state,committee_id,committee_name,communication_class,communication_type,communication_type_full,cycle,file_number,form_type_code,image_number,original_sub_id,pdf_url,primary_general_indicator,primary_general_indicator_description,purpose,report_type,report_year,schedule_type,schedule_type_full,state_full,sub_id,support_oppose_indicator,tran_id,transaction_amount,transaction_date,transaction_type
A,ADD,,S8MN00438,,,"FRANKEN,",S,,SENATE,MN,C70000112,AFL-CIO ,M,TP,,2008,421276.0,F7,28039892190,,https://docquery.fec.gov/pdf/190/28039892190/28039892190.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,MINNESOTA,2062620091115894729,S,F760623082708319,533.0,2008-10-06,24F
A,ADD,,S6VA00093,,,"WARNER,",S,,SENATE,VA,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892191,,https://docquery.fec.gov/pdf/191/28039892191/28039892191.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,VIRGINIA ,2062620091115894750,S,F760623082708340,60.0,2008-10-06,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892191,,https://docquery.fec.gov/pdf/191/28039892191/28039892191.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894752,S,F760623082708342,64.0,2008-10-06,24F
A,ADD,,S6VA00093,,,"WARNER,",S,,SENATE,VA,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892191,,https://docquery.fec.gov/pdf/191/28039892191/28039892191.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,VIRGINIA ,2062620091115894755,S,F760623082708345,40.0,2008-10-06,24F
A,ADD,,H8VA02046,,,"NYE,",H,2,HOUSE,VA,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892191,,https://docquery.fec.gov/pdf/191/28039892191/28039892191.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,VIRGINIA ,2062620091115894766,S,F760623082708356,60.0,2008-10-06,24F
A,ADD,,S8MN00438,,,"FRANKEN,",S,,SENATE,MN,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892192,,https://docquery.fec.gov/pdf/192/28039892192/28039892192.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,MINNESOTA,2062620091115894788,S,F760623082708378,354.0,2008-10-07,24F
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892192,,https://docquery.fec.gov/pdf/192/28039892192/28039892192.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894795,O,F760623082708385,74.0,2008-10-07,24N
A,ADD,,S2NC00083,,,"DOLE,",S,,SENATE,NC,C70000112,AFL-CIO ,M,TP,,2008,421276.0,F7,28039892192,,https://docquery.fec.gov/pdf/192/28039892192/28039892192.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NORTH CAROLINA,2062620091115894808,O,F760623082708398,491.0,2008-10-07,24N
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,TP,,2008,421276.0,F7,28039892193,,https://docquery.fec.gov/pdf/193/28039892193/28039892193.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894832,O,F760623082708422,474.0,2008-10-08,24N
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,TP,,2008,421276.0,F7,28039892193,,https://docquery.fec.gov/pdf/193/28039892193/28039892193.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894836,O,F760623082708426,282.0,2008-10-08,24N
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892196,,https://docquery.fec.gov/pdf/196/28039892196/28039892196.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894936,O,F760623082708526,79.0,2008-10-09,24N
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892196,,https://docquery.fec.gov/pdf/196/28039892196/28039892196.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894941,S,F760623082708531,16.0,2008-10-09,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892196,,https://docquery.fec.gov/pdf/196/28039892196/28039892196.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894945,S,F760623082708535,36.0,2008-10-09,24F
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892196,,https://docquery.fec.gov/pdf/196/28039892196/28039892196.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894961,O,F760623082708551,28.0,2008-10-09,24N
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892197,,https://docquery.fec.gov/pdf/197/28039892197/28039892197.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894972,S,F760623082708562,81.0,2008-10-09,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892199,,https://docquery.fec.gov/pdf/199/28039892199/28039892199.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115895037,S,F760623082708627,48.0,2008-10-09,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892201,,https://docquery.fec.gov/pdf/201/28039892201/28039892201.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115895123,S,F760623082708713,2.0,2008-10-11,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892201,,https://docquery.fec.gov/pdf/201/28039892201/28039892201.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115895139,S,F760623082708729,17.0,2008-10-11,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892202,,https://docquery.fec.gov/pdf/202/28039892202/28039892202.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115895148,S,F760623082708738,68.0,2008-10-11,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892202,,https://docquery.fec.gov/pdf/202/28039892202/28039892202.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115895154,S,F760623082708744,970.0,2008-10-12,24F
A,ADD,,H8MI07096,,,"SCHAUER, MARK",H,7,HOUSE,MI,C70000120,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",M,DM,,2008,421281.0,F7,29030010921,,https://docquery.fec.gov/pdf/921/29030010921/29030010921.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,MICHIGAN,2070920091116251963,S,F76062308300836,6372.0,2008-10-28,24F
A,ADD,,S6VA00093,,,"WARNER, MARK",S,,SENATE,VA,C70000120,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",M,DM,,2008,421281.0,F7,29030010922,,https://docquery.fec.gov/pdf/922/29030010922/29030010922.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,VIRGINIA ,2070920091116251965,S,F76062308300838,841.0,2008-10-28,24F
A,ADD,,H8MO09088,,,"BAKER, JUDY",H,9,HOUSE,MO,C70000120,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",M,TP,,2008,421281.0,F7,29030010932,,https://docquery.fec.gov/pdf/932/29030010932/29030010932.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,MISSOURI,2070920091116251984,S,F76062308300857,23.0,2008-10-28,24F
A,ADD,,P80003338,,,"OBAMA, BARACK",P,,PRESIDENT,,C70000211,COMMUNICATION WORKERS OF AMERICA,M,DM,,2008,421282.0,F7,28039901446,,https://docquery.fec.gov/pdf/446/28039901446/28039901446.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2070920091116251993,S,F7606230830083,26950.0,2008-10-14,24F
A,ADD,,P80003338,,,"OBAMA, BARACK",P,,PRESIDENT,FL,C70000435,INTL ASSN OF MACHINISTS AND AEROSPACE WORKERS,M,O,MISC MATERIALS,2008,421284.0,F7,28039852218,,https://docquery.fec.gov/pdf/218/28039852218/28039852218.pdf,G,GENERAL,MEMBERS,Q3,2008,F76,FOR EACH COMMUNICATION,FLORIDA,2070920091116252001,S,F7606230831082,1912.0,2008-08-31,24F
A,ADD,,H6NC08111,,,"KISSELL, LARRY",,8,,NC,C70000492,NATIONAL EDUCATION ASSOCIATION,M,DM,,2008,421285.0,F7,28039894054,,https://docquery.fec.gov/pdf/054/28039894054/28039894054.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NORTH CAROLINA,2070920091116252012,S,F76062308310811,4463.0,2008-10-09,24F
A,ADD,,H8KS03064,,,"JORDAN, NICK",H,3,HOUSE,KS,C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,M,DM,,2008,421286.0,F7,29039984490,,https://docquery.fec.gov/pdf/490/29039984490/29039984490.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,KANSAS,2071320091116297122,S,F76062308310888,1121.0,2008-10-20,24F
A,ADD,,H4MI07103,,,"WALBERG, TIM",H,7,HOUSE,MI,C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,M,DM,,2008,421286.0,F7,29039984491,,https://docquery.fec.gov/pdf/491/29039984491/29039984491.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,MICHIGAN,2071320091116297132,S,F76062308310898,1812.0,2008-10-20,24F
A,ADD,,H2MI11042,,,"KNOLLENBERG, JOE",H,9,HOUSE,MI,C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,M,DM,,2008,421286.0,F7,29039984491,,https://docquery.fec.gov/pdf/491/29039984491/29039984491.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,MICHIGAN,2071320091116297135,S,F760623083108101,992.0,2008-10-20,24F
A,ADD,,P80002801,,,"MCCAIN, JOHN",P,,PRESIDENT,,C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,M,DM,,2008,421286.0,F7,29039984491,,https://docquery.fec.gov/pdf/491/29039984491/29039984491.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,,2071320091116297140,S,F760623083108106,737.0,2008-10-20,24F
A,ADD,,P80003338,,,"OBAMA, BARACK",P,,PRESIDENT,,C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,M,DM,,2008,421286.0,F7,29039984492,,https://docquery.fec.gov/pdf/492/29039984492/29039984492.pdf,G,GENERAL,MEMBERS,YE,2008,F76,FOR EACH COMMUNICATION,,2071320091116297155,O,F760623083108121,742.0,2008-10-20,24N
