action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'PEOPLE FOR THE AMERICAN WAY (PFAW)', 'candidate_ids': [], 'city': 'Washington', 'committee_id': 'C00331454', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1997-11-26', 'first_file_date': '1997-11-26', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2020-02-27', 'last_file_date': '2024-07-15', 'name': 'PEOPLE FOR THE AMERICAN WAY VOTERS ALLIANCE', 'organization_type': 'W', 'organization_type_full': 'Corporation w/o capital stock', 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '2000 M Street NW', 'street_2': 'Suite 400', 'treasurer_name': 'Collins, Mary Jean', 'zip': '20036'}",C00331454,,,,,,,,,,,55.18,,,263881,,,,,,2006-12-07,F3X,F3X-24,26930670262,,,False,24,4120720061072701091,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?26930670262,263881,30G,2006,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122920061073912622,,E.UNITEMIZED0
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'NARAL PRO-CHOICE WASHINGTON', 'candidate_ids': [], 'city': 'SEATTLE', 'committee_id': 'C00401455', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2006, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-25', 'first_file_date': '2004-05-25', 'is_active': True, 'last_cycle_has_activity': 2016, 'last_cycle_has_financial': 2016, 'last_f1_date': '2015-01-05', 'last_file_date': '2016-11-17', 'name': 'WASHINGTON NARAL STAND UP FOR A PROCHOICE FUTURE', 'organization_type': 'M', 'organization_type_full': 'Membership Organization', 'party': None, 'party_full': None, 'state': 'WA', 'state_full': 'Washington', 'street_1': '811 FIRST AVE SUITE 456', 'street_2': None, 'treasurer_name': 'KAREN S COOPER', 'zip': '98104'}",C00401455,,,,,,,,,,,93.47,,,265379,,,,,,2006-12-11,F3X,F3X-24,26930730460,,,False,24,4121120061072835297,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?26930730460,265379,30G,2006,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122820061073859614,,E.UNITEMIZED0
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'TEXAS RIGHT TO LIFE COMMITTEE', 'candidate_ids': [], 'city': 'HOUSTON', 'committee_id': 'C00419242', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2006, 'cycles': [2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2006-01-31', 'first_file_date': '2006-01-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-19', 'last_file_date': '2024-07-19', 'name': 'TEXAS RIGHT TO LIFE POLITICAL ACTION C', 'organization_type': 'M', 'organization_type_full': 'Membership Organization', 'party': None, 'party_full': None, 'state': 'TX', 'state_full': 'Texas', 'street_1': '6776 SOUTHWEST FREEWAY SUITE 430', 'street_2': None, 'treasurer_name': 'TERESA DOYLE', 'zip': '77074'}",C00419242,,,,,,,,,,,224.66,,,263387,,,,,,2006-12-07,F3X,F3X-24,26940799163,,,False,24,4120720061072700746,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?26940799163,263387,30G,2006,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122820061073859539,,E.UNITEMIZED0
A,ADD,A,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': ""HOOSIER'S SALUTE TO THE PRESIDENT"", 'candidate_ids': [], 'city': 'INDIANAPOLIS', 'committee_id': 'C00006486', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2004, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-04-09', 'first_file_date': '1975-03-06', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-04', 'last_file_date': '2024-08-20', 'name': 'INDIANA REPUBLICAN STATE CENTRAL COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'IN', 'state_full': 'Indiana', 'street_1': '47 S. Meridian St. Suite 200', 'street_2': 'Suite 200', 'treasurer_name': 'Cruea, Dudley Mr.', 'zip': '46204'}",C00006486,,,,,,,,,,,642.04,,,156988,,,,,,2004-12-22,F3X,F3X-24,24991492102,,,False,24,4122220041047381677,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24991492102,143816,M10,2004,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122820041047633461,,E.UNITEMIZED1
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'KANSAS CITY SOUTHERN', 'candidate_ids': [], 'city': 'KANSAS CITY', 'committee_id': 'C00139451', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1981-01-05', 'first_file_date': '1981-01-05', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-19', 'last_file_date': '2024-08-20', 'name': 'KANSAS CITY SOUTHERN EMPLOYEE PAC', 'organization_type': 'C', 'organization_type_full': 'Corporation', 'party': None, 'party_full': None, 'state': 'MO', 'state_full': 'Missouri', 'street_1': '427 W 12TH STREET', 'street_2': None, 'treasurer_name': 'BARBARA L BLEVINS', 'zip': '64105'}",C00139451,,,,,,,,,,,52.48,,,313556,,,,,,2007-12-20,F3X,F3X-24,27991047841,,,False,24,4122020071083026630,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27991047841,313556,M12,2007,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122620071083100079,,E.UNITEMIZED0
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES, AFL-CIO', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00011114', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2008, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-05-07', 'first_file_date': '1975-05-12', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-03-28', 'last_file_date': '2024-09-13', 'name': 'AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E', 'organization_type': 'L', 'organization_type_full': 'Labor Organization', 'party': 'UNK', 'party_full': 'UNKNOWN', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1625 L STREET NW', 'street_2': None, 'treasurer_name': 'LUCY, WILLIAM', 'zip': '20036'}",C00011114,,,,,,,,,,,1919.35,,,313443,,,,,,2007-12-19,F3X,F3X-24,27991041085,,,False,24,4121920071082979728,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27991041085,313443,M12,2007,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122620071083100039,,E.UNITEMIZED0
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'EMPLOYEES; AMER. FED. OF STATE, COUNTY', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00011114', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-05-07', 'first_file_date': '1975-05-12', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-03-28', 'last_file_date': '2024-09-13', 'name': 'AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES - P E O P L E, QUALIFIED', 'organization_type': 'L', 'organization_type_full': 'Labor Organization', 'party': 'UNK', 'party_full': 'UNKNOWN', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1625 L STREET NW', 'street_2': None, 'treasurer_name': 'WILLIAM LUCY', 'zip': '20036'}",C00011114,,,,,,,,,,,-2307.54,,,194386,,,,,,2005-12-20,F3X,F3X-24,25971661263,,,False,24,4122020051062675301,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?25971661263,194386,M12,2005,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122220051062805522,,E.UNITEMIZED0
A,ADD,A,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': None, 'candidate_ids': ['P00003335'], 'city': 'AUSTIN', 'committee_id': 'C00397547', 'committee_type': 'U', 'committee_type_full': 'Single Candidate Independent Expenditure', 'cycle': 2004, 'cycles': [2004], 'cycles_has_activity': [2004], 'cycles_has_financial': [2004], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'T', 'first_f1_date': '2004-03-15', 'first_file_date': '2004-03-15', 'is_active': False, 'last_cycle_has_activity': 2004, 'last_cycle_has_financial': 2004, 'last_f1_date': '2004-03-15', 'last_file_date': '2004-12-21', 'name': 'ABB 2004 PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'TX', 'state_full': 'Texas', 'street_1': 'PO BOX 341461', 'street_2': None, 'treasurer_name': 'MICHAEL ARCHULETA', 'zip': '78734'}",C00397547,,,,,,,,,,,19.95,,,156267,,,,,,2004-12-09,F3X,F3X-24,24981755122,,,False,24,4120920041046418399,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981755122,113926,Q1,2004,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122220041047568626,,E.UNITEMIZED1
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': 'OCEAN CHAMPIONS', 'candidate_ids': [], 'city': 'CAPITOLA', 'committee_id': 'C00393769', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2006, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-12-06', 'first_file_date': '2003-12-06', 'is_active': True, 'last_cycle_has_activity': 2020, 'last_cycle_has_financial': 2020, 'last_f1_date': '2018-09-21', 'last_file_date': '2019-08-01', 'name': 'OCEAN CHAMPIONS', 'organization_type': 'M', 'organization_type_full': 'Membership Organization', 'party': None, 'party_full': None, 'state': 'CA', 'state_full': 'California', 'street_1': '202 SAN JOSE AVENUE', 'street_2': None, 'treasurer_name': 'Wilmot, David', 'zip': '95010'}",C00393769,,,,,,,,,,,200.0,,,262931,,,,,,2006-12-06,F3X,F3X-24,26940732452,,,False,24,4120720061072700415,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?26940732452,262931,30G,2006,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122120061073153138,,E.UNITEMIZED0
A,ADD,N,,,,"{'candidate_id': None, 'idx': None, 'two_year_period': None}",,,,,,,,,,,,,,"{'affiliated_committee_name': None, 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00401166', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2004, 'cycles': [2004, 2006], 'cycles_has_activity': [2004, 2006], 'cycles_has_financial': [2004], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2004-05-19', 'first_file_date': '2004-05-19', 'is_active': True, 'last_cycle_has_activity': 2006, 'last_cycle_has_financial': 2004, 'last_f1_date': '2004-05-19', 'last_file_date': '2005-02-02', 'name': 'PAKISTANI AMERICAN LIAISON CENTER PALC PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '236 MASSACHUSETTS AVE N E #602', 'street_2': None, 'treasurer_name': 'MOSSADAQ F CHUGHTAI', 'zip': '20002'}",C00401166,,,,,,,,,,,12.0,,,156171,,,,,,2004-12-08,F3X,F3X-24,24981750713,,,False,24,4120820041046353251,,,,False,True,,,,,,,,,,UNITEMIZED,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?24981750713,156171,30G,2004,SE,ITEMIZED INDEPENDENT EXPENDITURES,4122120041047335596,,E.UNITEMIZED0
