amendment_number,amends_file,beginning_image_number,committee_id,committee_name,coverage_end_date,coverage_start_date,csv_url,ending_image_number,fec_file_id,fec_url,file_number,filed_date,form_type,html_url,load_timestamp,pdf_url,receipt_date,amended_by,amendment_chain,is_amended,most_recent,most_recent_filing,document_description
8,1721179.0,202409149675466789,H2CO08020,"Caraveo, Yadira",,,https://docquery.fec.gov/csv/539/1815539.csv,202409149675466792,FEC-1815539,https://docquery.fec.gov/dcdev/posted/1815539.fec,1815539,2024-09-14,F2A,https://docquery.fec.gov/cgi-bin/forms/H2CO08020/1815539/,2024-09-14T14:18:38,https://docquery.fec.gov/pdf/789/202409149675466789/202409149675466789.pdf,2024-09-14T14:18:34,,,,,,
0,,202409149675466776,C00747121,RED SENATE,,,https://docquery.fec.gov/csv/538/1815538.csv,202409149675466788,FEC-1815538,https://docquery.fec.gov/dcdev/posted/1815538.fec,1815538,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00747121/1815538/,2024-09-14T13:28:32,https://docquery.fec.gov/pdf/776/202409149675466776/202409149675466776.pdf,2024-09-14T13:28:29,,[1815538],False,True,1815538.0,
0,,202409149675466774,H4MD01200,"Voelker, Patrick Gibson Mx.",,,https://docquery.fec.gov/csv/537/1815537.csv,202409149675466775,FEC-1815537,https://docquery.fec.gov/dcdev/posted/1815537.fec,1815537,2024-09-14,F2N,https://docquery.fec.gov/cgi-bin/forms/H4MD01200/1815537/,2024-09-14T13:20:19,https://docquery.fec.gov/pdf/774/202409149675466774/202409149675466774.pdf,2024-09-14T13:20:16,,[1815537],False,True,1815537.0,
0,,202409149675466770,C00889030,Leila Hazou for Senate,,,https://docquery.fec.gov/csv/536/1815536.csv,202409149675466773,FEC-1815536,https://docquery.fec.gov/dcdev/posted/1815536.fec,1815536,2024-09-14,F1N,https://docquery.fec.gov/cgi-bin/forms/C00889030/1815536/,2024-09-14T13:10:13,https://docquery.fec.gov/pdf/770/202409149675466770/202409149675466770.pdf,2024-09-14T13:10:06,,[1815536],False,True,1815536.0,
0,,202409149675466768,C00860148,WEST MICHIGAN FOR CHANGE,,,https://docquery.fec.gov/csv/535/1815535.csv,202409149675466769,FEC-1815535,https://docquery.fec.gov/dcdev/posted/1815535.fec,1815535,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00860148/1815535/,2024-09-14T12:33:31,https://docquery.fec.gov/pdf/768/202409149675466768/202409149675466768.pdf,2024-09-14T12:33:28,,[1815535],False,True,1815535.0,
0,,202409149675466767,C00042366,DSCC,,,https://docquery.fec.gov/csv/534/1815534.csv,202409149675466767,FEC-1815534,https://docquery.fec.gov/dcdev/posted/1815534.fec,1815534,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00042366/1815534/,2024-09-14T12:29:40,https://docquery.fec.gov/pdf/767/202409149675466767/202409149675466767.pdf,2024-09-14T12:29:36,,[1815534],False,True,1815534.0,
0,,202409149675466766,C00848440,PROTECT PROGRESS,,,https://docquery.fec.gov/csv/533/1815533.csv,202409149675466766,FEC-1815533,https://docquery.fec.gov/dcdev/posted/1815533.fec,1815533,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00848440/1815533/,2024-09-14T12:24:29,https://docquery.fec.gov/pdf/766/202409149675466766/202409149675466766.pdf,2024-09-14T12:24:25,,[1815533],False,True,1815533.0,
0,,202409149675466765,S4VT00165,"Greenstein, Mark Stewart",,,https://docquery.fec.gov/csv/532/1815532.csv,202409149675466765,FEC-1815532,https://docquery.fec.gov/dcdev/posted/1815532.fec,1815532,2024-09-14,F2N,https://docquery.fec.gov/cgi-bin/forms/S4VT00165/1815532/,2024-09-14T12:13:21,https://docquery.fec.gov/pdf/765/202409149675466765/202409149675466765.pdf,2024-09-14T12:13:15,,[1815532],False,True,1815532.0,
0,,202409149675466764,C00837427,PROJECT RESCUE AMERICA,,,https://docquery.fec.gov/csv/531/1815531.csv,202409149675466764,FEC-1815531,https://docquery.fec.gov/dcdev/posted/1815531.fec,1815531,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00837427/1815531/,2024-09-14T12:00:16,https://docquery.fec.gov/pdf/764/202409149675466764/202409149675466764.pdf,2024-09-14T12:00:12,,[1815531],False,True,1815531.0,
0,,202409149675466763,C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,,,https://docquery.fec.gov/csv/530/1815530.csv,202409149675466763,FEC-1815530,https://docquery.fec.gov/dcdev/posted/1815530.fec,1815530,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00053553/1815530/,2024-09-14T12:00:02,https://docquery.fec.gov/pdf/763/202409149675466763/202409149675466763.pdf,2024-09-14T12:00:00,,[1815530],False,True,1815530.0,
0,,202409149675466762,C00740225,NRDC ACTION VOTES,,,https://docquery.fec.gov/csv/529/1815529.csv,202409149675466762,FEC-1815529,https://docquery.fec.gov/dcdev/posted/1815529.fec,1815529,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00740225/1815529/,2024-09-14T11:19:37,https://docquery.fec.gov/pdf/762/202409149675466762/202409149675466762.pdf,2024-09-14T11:19:34,,[1815529],False,True,1815529.0,
0,,202409149675466760,C90022427,PROGRESS NORTH CAROLINA ACTION,,,https://docquery.fec.gov/csv/528/1815528.csv,202409149675466761,FEC-1815528,https://docquery.fec.gov/dcdev/posted/1815528.fec,1815528,2024-09-14,F5N,https://docquery.fec.gov/cgi-bin/forms/C90022427/1815528/,2024-09-14T09:55:11,https://docquery.fec.gov/pdf/760/202409149675466760/202409149675466760.pdf,2024-09-14T09:55:07,,[1815528],False,True,1815528.0,
0,,202409149675466759,C00760124,NATIONAL VICTORY ACTION FUND,,,https://docquery.fec.gov/csv/527/1815527.csv,202409149675466759,FEC-1815527,https://docquery.fec.gov/dcdev/posted/1815527.fec,1815527,2024-09-14,F24N,https://docquery.fec.gov/cgi-bin/forms/C00760124/1815527/,2024-09-14T09:00:05,https://docquery.fec.gov/pdf/759/202409149675466759/202409149675466759.pdf,2024-09-14T09:00:02,,[1815527],False,True,1815527.0,
0,,202409149675461675,C00603084,NDTC,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/526/1815526.csv,202409149675466758,FEC-1815526,https://docquery.fec.gov/dcdev/posted/1815526.fec,1815526,2024-09-14,F3XN,https://docquery.fec.gov/cgi-bin/forms/C00603084/1815526/,2024-09-14T05:50:15,https://docquery.fec.gov/pdf/675/202409149675461675/202409149675461675.pdf,2024-09-14T05:50:09,,[1815526],False,True,1815526.0,SEPTEMBER MONTHLY 2024
0,,202409149675461670,C00889014,GOD,,,https://docquery.fec.gov/csv/525/1815525.csv,202409149675461674,FEC-1815525,https://docquery.fec.gov/dcdev/posted/1815525.fec,1815525,2024-09-14,F1N,https://docquery.fec.gov/cgi-bin/forms/C00889014/1815525/,2024-09-14T02:02:35,https://docquery.fec.gov/pdf/670/202409149675461670/202409149675461670.pdf,2024-09-14T02:02:31,,[1815525],False,True,1815525.0,
0,,202409149675461588,C00252551,REPUBLICAN PARTY OF SAN DIEGO COUNTY,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/524/1815524.csv,202409149675461669,FEC-1815524,https://docquery.fec.gov/dcdev/posted/1815524.fec,1815524,2024-09-14,F3XN,https://docquery.fec.gov/cgi-bin/forms/C00252551/1815524/,2024-09-14T01:23:01,https://docquery.fec.gov/pdf/588/202409149675461588/202409149675461588.pdf,2024-09-14T01:22:56,,[1815524],False,True,1815524.0,SEPTEMBER MONTHLY 2024
1,1812342.0,202409149675461535,C00252551,REPUBLICAN PARTY OF SAN DIEGO COUNTY,2024-07-31,2024-07-01,https://docquery.fec.gov/csv/523/1815523.csv,202409149675461587,FEC-1815523,https://docquery.fec.gov/dcdev/posted/1815523.fec,1815523,2024-09-14,F3XA,https://docquery.fec.gov/cgi-bin/forms/C00252551/1815523/,2024-09-14T01:18:54,https://docquery.fec.gov/pdf/535/202409149675461535/202409149675461535.pdf,2024-09-14T01:18:49,,"[1812342, 1815523]",False,True,1815523.0,AUGUST MONTHLY 2024
